id,ProlificID,Time,Date,Zip,State_full,State,Age,Sex,Preexisting,PerceptionRisk,PFIaffectNeigh,PFINeigh1,PFINeigh6,PFIcountry1,PFIcountry6,WillingnessNeigh,NBTneigh,WillingnessCountry,NBTcountry,InfectedCovid,InfectedCovidLatest,Vaccine
160,5bdcc0e876d6d50001bc33b9,1,09/26/2020,29646,South Carolina,SC,20,1,2,4,,6,6,3,1,6,7,4,7,0,1,7
161,5be1ca6d91deed00015a986c,1,09/26/2020,75156,Texas,TX,59,2,1,2,3.75,4,4,5,2,6,6,6,6,0,1,3
162,5be42f3b98f5f40001a994f4,1,09/26/2020,32955,Florida,FL,62,1,1,2,3.25,2,2,5,4,2,7,2,6,0,1,7
163,5be61e64aa1dd8000142f043,1,09/26/2020,97064,Oregon,OR,67,1,1,5,5.75,4,3,7,4,4,7,4,7,0,1,7
164,5be781ca3b047e0001a39e47,1,09/26/2020,3851,New Hampshire,NH,61,2,2,2,6,6,5,7,6,1,5,1,5,0,1,7
165,5be7a4f33b047e0001a3a4cd,1,09/26/2020,29483,South Carolina,SC,62,2,1,4,5.75,5,5,6,5,5,5,4,5,0,1,7
166,5be8bbc333f40a0001033842,1,09/26/2020,33914,Florida,FL,41,2,1,3,4,4,3,5,3,2,4,1,3,0,2,1
167,5beb85a3af0b33000111304a,1,09/26/2020,62002,Illinois,IL,37,1,1,5,5,5,5,4,4,3,5,2,4,0,1,5
168,5beb92fbe0a3940001543d8c,1,09/26/2020,30306,Georgia,GA,57,2,1,5,3.25,3,2,6,3,3,4,2,3,0,3,5
169,5bf55a643a426e00019e3990,1,09/26/2020,80022,Colorado,CO,58,1,1,2,6.25,6,6,6,6,5,6,4,6,0,2,4
170,5c0150326a0c6e00013c6068,1,09/26/2020,27597,North Carolina,NC,69,1,2,6,3.25,2,2,5,5,2,2,2,3,0,1,4
171,5c0273f2d763e00001f672e4,1,09/26/2020,34242,Florida,FL,58,1,1,4,,6,6,6,5,5,5,4,6,0,1,6
172,5c03e4d240e34600012477d5,1,09/26/2020,29909,South Carolina,SC,61,2,2,3,6,7,5,6,7,6,7,4,6,0,1,7
173,5c096a7f5f9f0100010b479e,1,09/26/2020,60613,Illinois,IL,59,1,1,4,7,7,7,7,7,1,7,1,7,0,1,5
174,5c0b388b9c7b1100015ab55f,1,09/26/2020,85255,Arizona,AZ,52,2,1,1,7,7,1,7,2,2,6,1,4,2,2,3
175,5c0da14d656168000159da7a,1,09/26/2020,48911,Michigan,MI,50,1,1,3,6.5,7,5,7,3,4,6,3,5,0,1,7
176,5c0e2d6f9de46c00014ff96d,1,09/26/2020,38063,Tennessee,TN,49,2,1,3,5.25,5,4,6,4,5,5,4,4,0,1,3
177,5c10724111fe9a00013cd815,1,09/26/2020,29841,South Carolina,SC,55,2,2,7,7,7,7,4,2,1,4,1,5,0,2,4
