index,Country,Confirmed,Confirmed_pc,Deaths,Deaths_pc,Death_rate,Recovered,Recovered_pc,Recovered_rate,Active,Active_pc,Tested,Tested_pc,Tested_rate,Population
42,Greenland,14,247.08789269325803,0,0.0,0.0,14,247.08789269325803,100.0,0.0,0.0,0,0,0,56660
43,Denmark,27998,4850.761719281267,650,112.61501241277318,2.321594399599971,20754,3595.7107194072223,74.12672333738124,6594.0,1142.4359874612712,3795247.0,657541.2123300618,0.7377121963339935,5771877
44,Djibouti,5416,5563.105190553814,61,62.656834679428115,1.1262924667651404,5344,5489.149582407605,98.67060561299851,11.0,11.29877346678212,0,0,0,973557
45,Dominica,30,417.78074866310163,0,0.0,0.0,24,334.2245989304813,80.0,6.0,83.55614973262033,0,0,0,71808
46,Dominican Republic,112209,10448.780081715571,2105,196.01531135658706,1.8759636036325071,87629,8159.917206112289,78.09444875188265,22475.0,2092.8475642466956,0,0,0,10738957
47,Ecuador,137047,7888.2068409661815,11355,653.5756979661794,8.285478704386087,112296,6463.578738776758,81.9397724868111,13396.0,771.0524042232444,359918.0,20716.30630212165,38.077284270306016,17373657
48,Egypt,103198,1027.9906151403877,5930,59.07076055526754,5.746235392158763,96494,961.209775551431,93.50375007267583,774.0,7.710079033689221,0,0,0,100388076
49,El Salvador,29077,4505.582198944767,843,130.6257796096722,2.899198679368573,23813,3689.9071053916064,81.89634418956564,4421.0,685.0493139434885,395921.0,61349.33486220762,7.344141886891577,6453550
50,Equatorial Guinea,5030,3709.4887690249575,83,61.210252053493335,1.650099403578529,4769,3517.008337868792,94.81113320079523,178.0,131.27017910267244,0,0,0,1355982
51,Eritrea,375,107.23118500181722,0,0.0,0.0,341,97.50889089498578,90.93333333333334,34.0,9.722294106831427,0,0,0,3497117
52,Estonia,3371,2542.9053995439212,64,48.27823956416819,1.8985464253930586,2605,1965.0752197602833,77.27677247107682,702.0,529.5519402194699,215683.0,162699.93037372638,1.56294191011809,1325649
